#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
us6000mt0s|2024-04-22T18:32:48.439|23.8586|121.5662|10|us|us|us|us6000mt0s|mww|6.1|us|13 km SSW of Hualien City, Taiwan
us6000mt0r|2024-04-22T18:26:52.852|23.7141|121.6599|9|us|us|us|us6000mt0r|mww|6.1|us|29 km S of Hualien City, Taiwan
us7000m9sq|2024-04-04T03:16:30.313|37.7104|141.856|29|us|us|us|us7000m9sq|mww|6.1|us|77 km E of Minami-Sōma, Japan
us6000mgyj|2024-03-05T19:52:52.612|-59.1953|158.7607|10|us|us|us|us6000mgyj|mww|6.1|us|Macquarie Island region
us7000lym6|2024-02-12T11:19:34.858|22.0086|142.7919|236|us|us|us|us7000lym6|mww|6.1|us|Volcano Islands, Japan region
us7000lxyv|2024-02-09T10:57:48.482|-29.9268|-177.2323|13|us|us|us|us7000lxyv|mww|6.1|us|Kermadec Islands, New Zealand
us7000luai|2024-01-27T05:52:48.419|14.0636|-90.6159|90|us|us|us|us7000luai|mww|6.1|us|15 km W of Taxisco, Guatemala
us6000m50e|2024-01-20T15:48:40.121|18.5192|145.6341|184|us|us|us|us6000m50e|mww|6.1|us|Pagan region, Northern Mariana Islands
us7000nx17|2024-12-08T10:25:00.081|48.867|152.3071|207|us|us|us|us7000nx17|mww|6|us|Kuril Islands
us7000np33|2024-10-30T20:15:20.095|43.5842|-127.6418|10|us|us|us|us7000np33|mww|6|us|267 km W of Bandon, Oregon
us7000nnz9|2024-10-30T12:18:51.671|-4.4064|150.0827|509|us|us|us|us7000nnz9|mww|6|us|126 km N of Kimbe, Papua New Guinea
us6000nyzk|2024-10-16T07:46:32.516|38.3115|38.8059|10|us|us|us|us6000nyzk|mww|6|us|19 km W of Doğanyol, Turkey
us6000ntxc|2024-09-23T19:51:02.568|-0.0469|122.8918|143|us|us|us|us6000ntxc|mww|6|us|67 km SSW of Gorontalo, Indonesia
us6000ntjh|2024-09-21T21:24:28.737|-31.8909|-66.887|141|us|us|us|us6000ntjh|mww|6|us|95 km NNW of Villa General Roca, Argentina
us6000nnlx|2024-08-30T04:24:22.983|53.0016|160.3787|26|us|us|us|us6000nnlx|mww|6|us|117 km E of Petropavlovsk-Kamchatsky, Russia
us7000n9dz|2024-08-25T23:30:51.981|-19.7667|-174.9814|99.28|us|us|us|us7000n9dz|mb|6|us|65 km W of Pangai, Tonga
us6000ngng|2024-07-29T13:07:11.966|-20.3812|-173.9806|9|us|us|us|us6000ngng|mww|6|us|73 km SSE of Pangai, Tonga
us7000n068|2024-07-19T03:13:47.417|52.0859|-170.9116|40.972|us|us|us|us7000n068|mwr|6|us|168 km SW of Nikolski, Alaska
us7000mu1p|2024-06-23T03:57:58.918|10.6921|-62.6868|77|us|us|us|us7000mu1p|mww|6|us|20 km NE of Yaguaraparo, Venezuela
us7000mstj|2024-06-16T14:47:33.155|-15.8557|-74.4353|27|us|us|us|us7000mstj|mww|6|us|10 km SW of Atiquipa, Peru
us7000msqt|2024-06-16T00:27:56.629|-60.9499|154.3353|7.727|us|us|us|us7000msqt|mww|6|us|west of Macquarie Island
us6000mzme|2024-05-19T09:35:24.660|52.0681|-170.9122|28|us|us|us|us6000mzme|mww|6|us|169 km SW of Nikolski, Alaska
us6000milg|2024-03-13T15:13:22.779|-5.831|150.6843|44|us|us|us|us6000milg|mww|6|us|68 km ESE of Kimbe, Papua New Guinea
us7000m439|2024-03-08T09:11:45.110|5.8168|126.9407|115|us|us|us|us7000m439|mww|6|us|103 km SE of Pondaguitan, Philippines
us7000lz5f|2024-02-14T11:40:22.125|11.0047|138.5725|14|us|us|us|us7000lz5f|mww|6|us|171 km NNE of Colonia, Micronesia
us6000pfuq|2024-12-27T05:30:07.144|34.0302|-38.6982|10|us|us|us|us6000pfuq|mww|5.9|us|northern Mid-Atlantic Ridge
